scene_id,date,cloud_cover,ndvi
S2C_21LXF_20250505_0_L2A,2025-05-05,8.3675,0.7085
S2A_21LXF_20250507_0_L2A,2025-05-07,3.7557,0.6858
S2B_21LXF_20250510_0_L2A,2025-05-10,10.2358,0.6965
S2A_21LXF_20250517_0_L2A,2025-05-17,1.0677,0.6374
S2B_21LXF_20250520_0_L2A,2025-05-20,5.6884,0.6877
S2C_21LXF_20250604_0_L2A,2025-06-04,7.9313,0.7066
S2A_21LXF_20250606_0_L2A,2025-06-06,0.0113,0.6662
S2B_21LXF_20250609_0_L2A,2025-06-09,0.0262,0.6823
S2C_21LXF_20250614_0_L2A,2025-06-14,11.3022,0.6875
S2A_21LXF_20250616_0_L2A,2025-06-16,5.7843,0.7095
S2B_21LXF_20250619_0_L2A,2025-06-19,11.4303,0.7421
S2A_21LXF_20250626_0_L2A,2025-06-26,0.3211,0.6937
S2B_21LXF_20250629_0_L2A,2025-06-29,6.6067,0.7103
S2A_21LXF_20250706_0_L2A,2025-07-06,0.0011,0.7040
S2B_21LXF_20250709_0_L2A,2025-07-09,0.0016,0.6890
S2C_21LXF_20250714_0_L2A,2025-07-14,0.1976,0.7101
S2A_21LXF_20250716_0_L2A,2025-07-16,0.0018,0.7185
S2B_21LXF_20250719_0_L2A,2025-07-19,0.0015,0.7151
S2C_21LXF_20250724_0_L2A,2025-07-24,0.0024,0.7698
S2A_21LXF_20250726_0_L2A,2025-07-26,0.0012,0.7788
S2B_21LXF_20250729_0_L2A,2025-07-29,0.4530,0.7929
S2A_21LXF_20250805_0_L2A,2025-08-05,3.2915,0.7757
S2C_21LXF_20250813_0_L2A,2025-08-13,0.0013,0.8055
S2C_21LXF_20250823_0_L2A,2025-08-23,0.0005,0.6137
S2A_21LXF_20250825_0_L2A,2025-08-25,0.0017,0.6230
S2B_21LXF_20250828_0_L2A,2025-08-28,0.0013,0.6412
S2C_21LXF_20250902_0_L2A,2025-09-02,0.0210,0.5281
S2A_21LXF_20250904_0_L2A,2025-09-04,11.5749,0.5497
S2B_21LXF_20250907_0_L2A,2025-09-07,1.2494,0.4049
S2C_21LXF_20250912_0_L2A,2025-09-12,0.0011,0.3643
S2A_21LXF_20250914_0_L2A,2025-09-14,2.6494,0.3535
S2B_21LXF_20250927_0_L2A,2025-09-27,0.0031,0.5551
S2A_21LXF_20251004_0_L2A,2025-10-04,4.7141,0.5006
S2B_21LXF_20251007_0_L2A,2025-10-07,2.4205,0.5075
S2B_21LXF_20260115_0_L2A,2026-01-15,12.7266,0.5325
S2C_21LXF_20260430_0_L2A,2026-04-30,13.3044,0.7088
