scene_id,date,cloud_cover
S2C_21LXF_20250505_0_L2A,2025-05-05,8.3675
S2A_21LXF_20250507_0_L2A,2025-05-07,3.7557
S2B_21LXF_20250510_0_L2A,2025-05-10,10.2358
S2A_21LXF_20250517_0_L2A,2025-05-17,1.0677
S2B_21LXF_20250520_0_L2A,2025-05-20,5.6884
S2C_21LXF_20250525_0_L2A,2025-05-25,33.4270
S2A_21LXF_20250527_1_L2A,2025-05-27,27.4899
S2B_21LXF_20250530_0_L2A,2025-05-30,60.6396
S2C_21LXF_20250604_0_L2A,2025-06-04,7.9313
S2A_21LXF_20250606_0_L2A,2025-06-06,0.0113
S2B_21LXF_20250609_0_L2A,2025-06-09,0.0262
S2C_21LXF_20250614_0_L2A,2025-06-14,11.3022
S2A_21LXF_20250616_0_L2A,2025-06-16,5.7843
S2B_21LXF_20250619_0_L2A,2025-06-19,11.4303
S2C_21LXF_20250624_0_L2A,2025-06-24,99.2034
S2A_21LXF_20250626_0_L2A,2025-06-26,0.3211
S2B_21LXF_20250629_0_L2A,2025-06-29,6.6067
S2C_21LXF_20250704_0_L2A,2025-07-04,53.2655
S2A_21LXF_20250706_0_L2A,2025-07-06,0.0011
S2B_21LXF_20250709_0_L2A,2025-07-09,0.0016
S2C_21LXF_20250714_0_L2A,2025-07-14,0.1976
S2A_21LXF_20250716_0_L2A,2025-07-16,0.0018
S2B_21LXF_20250719_0_L2A,2025-07-19,0.0015
S2C_21LXF_20250724_0_L2A,2025-07-24,0.0024
S2A_21LXF_20250726_0_L2A,2025-07-26,0.0012
S2B_21LXF_20250729_0_L2A,2025-07-29,0.4530
S2C_21LXF_20250803_0_L2A,2025-08-03,32.3830
S2A_21LXF_20250805_0_L2A,2025-08-05,3.2915
S2B_21LXF_20250808_0_L2A,2025-08-08,25.5660
S2C_21LXF_20250813_0_L2A,2025-08-13,0.0013
S2A_21LXF_20250815_0_L2A,2025-08-15,21.4164
S2B_21LXF_20250818_0_L2A,2025-08-18,27.0525
S2C_21LXF_20250823_0_L2A,2025-08-23,0.0005
S2A_21LXF_20250825_0_L2A,2025-08-25,0.0017
S2B_21LXF_20250828_0_L2A,2025-08-28,0.0013
S2C_21LXF_20250902_0_L2A,2025-09-02,0.0210
S2A_21LXF_20250904_0_L2A,2025-09-04,11.5749
S2B_21LXF_20250907_0_L2A,2025-09-07,1.2494
S2C_21LXF_20250912_0_L2A,2025-09-12,0.0011
S2A_21LXF_20250914_0_L2A,2025-09-14,2.6494
S2B_21LXF_20250917_0_L2A,2025-09-17,53.5225
S2C_21LXF_20250922_0_L2A,2025-09-22,74.6987
S2A_21LXF_20250924_0_L2A,2025-09-24,91.6390
S2B_21LXF_20250927_0_L2A,2025-09-27,0.0031
S2C_21LXF_20251002_0_L2A,2025-10-02,84.9039
S2A_21LXF_20251004_0_L2A,2025-10-04,4.7141
S2B_21LXF_20251007_0_L2A,2025-10-07,2.4205
S2C_21LXF_20251012_0_L2A,2025-10-12,89.8614
S2A_21LXF_20251014_0_L2A,2025-10-14,99.7247
S2B_21LXF_20251017_0_L2A,2025-10-17,42.3011
S2C_21LXF_20251022_0_L2A,2025-10-22,83.1051
S2A_21LXF_20251024_0_L2A,2025-10-24,52.8089
S2B_21LXF_20251027_0_L2A,2025-10-27,45.5924
S2A_21LXF_20251103_0_L2A,2025-11-03,93.7953
S2B_21LXF_20251106_0_L2A,2025-11-06,76.5567
S2C_21LXF_20251111_0_L2A,2025-11-11,100.0000
S2A_21LXF_20251113_0_L2A,2025-11-13,79.2262
S2B_21LXF_20251116_0_L2A,2025-11-16,47.2287
S2C_21LXF_20251121_0_L2A,2025-11-21,51.0284
S2A_21LXF_20251123_0_L2A,2025-11-23,69.0330
S2B_21LXF_20251126_0_L2A,2025-11-26,78.6294
S2C_21LXF_20251201_0_L2A,2025-12-01,93.3069
S2A_21LXF_20251203_0_L2A,2025-12-03,99.9995
S2B_21LXF_20251206_0_L2A,2025-12-06,100.0000
S2C_21LXF_20251211_0_L2A,2025-12-11,41.8575
S2A_21LXF_20251213_0_L2A,2025-12-13,98.6375
S2B_21LXF_20251216_0_L2A,2025-12-16,99.9439
S2C_21LXF_20251221_0_L2A,2025-12-21,99.4897
S2A_21LXF_20251223_0_L2A,2025-12-23,92.6237
S2B_21LXF_20251226_0_L2A,2025-12-26,74.3785
S2C_21LXF_20251231_0_L2A,2025-12-31,73.1655
S2B_21LXF_20260105_0_L2A,2026-01-05,99.2676
S2C_21LXF_20260110_0_L2A,2026-01-10,28.4922
S2A_21LXF_20260112_0_L2A,2026-01-12,92.8332
S2B_21LXF_20260115_0_L2A,2026-01-15,12.7266
S2C_21LXF_20260120_0_L2A,2026-01-20,81.9173
S2B_21LXF_20260125_0_L2A,2026-01-25,100.0000
S2C_21LXF_20260130_0_L2A,2026-01-30,99.6761
S2B_21LXF_20260204_0_L2A,2026-02-04,99.5575
S2C_21LXF_20260209_0_L2A,2026-02-09,99.5961
S2B_21LXF_20260214_0_L2A,2026-02-14,75.1492
S2C_21LXF_20260219_0_L2A,2026-02-19,33.9018
S2B_21LXF_20260224_0_L2A,2026-02-24,86.6986
S2C_21LXF_20260301_0_L2A,2026-03-01,89.9373
S2B_21LXF_20260306_0_L2A,2026-03-06,94.2451
S2C_21LXF_20260311_0_L2A,2026-03-11,55.2814
S2A_21LXF_20260313_0_L2A,2026-03-13,73.9446
S2B_21LXF_20260316_0_L2A,2026-03-16,90.4691
S2C_21LXF_20260321_0_L2A,2026-03-21,98.9954
S2B_21LXF_20260326_0_L2A,2026-03-26,99.7122
S2C_21LXF_20260331_0_L2A,2026-03-31,88.5443
S2A_21LXF_20260402_0_L2A,2026-04-02,99.9380
S2B_21LXF_20260405_0_L2A,2026-04-05,67.5419
S2C_21LXF_20260410_0_L2A,2026-04-10,69.6067
S2A_21LXF_20260412_0_L2A,2026-04-12,59.9317
S2B_21LXF_20260415_0_L2A,2026-04-15,24.7848
S2C_21LXF_20260420_0_L2A,2026-04-20,78.4015
S2A_21LXF_20260422_0_L2A,2026-04-22,24.0147
S2C_21LXF_20260430_0_L2A,2026-04-30,13.3044
